"Bairro","Taxa de alfabetização"
"Nossa Senhora de Lourdes - Aracati (CE)","83.8"
"Várzea da Matriz - Aracati (CE)","82.8"
"Centro - Ararendá (CE)","70.2"
"Planalto - Ararendá (CE)","83.0"
"Ferreirão - Ararendá (CE)","72.1"
"Beira Rio - Ararendá (CE)","69.8"
"Varjota - Ararendá (CE)","70.6"
"Arneirozinho - Arneiroz (CE)","74.7"
"Centro - Arneiroz (CE)","86.6"
"Cecília Alves Bezerra - Arneiroz (CE)","81.2"
"Dr. Lanes Leal Petrola - Arneiroz (CE)","77.3"
"Santo Antônio - Arneiroz (CE)","62.9"
"Silva Bezerra - Arneiroz (CE)","80.5"
"Centro - Aurora (CE)","87.3"
"José Fernandes Campos - Aurora (CE)","85.3"
"Mororó - Aurora (CE)","58.4"
"Recreio - Aurora (CE)","74.2"
"Araçá - Aurora (CE)","76.0"
"José Leite Figueiredo (Zezé da Cruz) - Aurora (CE)","61.1"
"Vila Paulo Gonçalves - Aurora (CE)","93.0"
"José Freire do Amaral - Aurora (CE)","75.8"
"São Benedito - Aurora (CE)","83.1"
"Centro - Barbalha (CE)","94.7"
"Rosário - Barbalha (CE)","87.1"
"Tupinambá - Barbalha (CE)","77.6"
"Santo Antônio - Barbalha (CE)","84.8"
"Nossa Senhora de Fátima - Barbalha (CE)","97.2"
"Bela Vista - Barbalha (CE)","77.2"
"Alto da Alegria - Barbalha (CE)","86.7"
"Bulandeira - Barbalha (CE)","84.9"
"Mata dos Limas - Barbalha (CE)","79.3"
"Buriti - Barbalha (CE)","87.0"
"Malvinas - Barbalha (CE)","77.5"
"Santo André - Barbalha (CE)","70.7"
"Cirolândia - Barbalha (CE)","89.4"
"Alto do Rosário - Barbalha (CE)","79.0"
"Mata dos Dudas - Barbalha (CE)","81.1"
"Centro - Barro (CE)","88.7"
"Poço da Pedra - Barro (CE)","72.7"
"Jardim Raimundo Inácio - Barro (CE)","77.7"
"Gangorra - Barro (CE)","73.4"
"Bela Vista - Barro (CE)","93.3"
"São Francisco - Barro (CE)","82.3"
"Baixio Velho - Barro (CE)","74.9"
"São José - Barro (CE)","72.9"
"Xique-Xique - Barro (CE)","72.9"
"Muquém - Barro (CE)","79.6"
"Trajano Nogueira - Barro (CE)","79.9"
"Aurílio Cardoso - Barro (CE)","81.9"
"Centro - Barroquinha (CE)","84.3"
"Nossa Senhora dos Navegantes - Barroquinha (CE)","76.5"
"Poço Imperial - Barroquinha (CE)","76.5"
"Carmelita Veras - Barroquinha (CE)","69.9"
"Jaime Laurindo - Barroquinha (CE)","72.1"
"Coió - Baturité (CE)","79.5"
"Comendador Ananias Arruda - Baturité (CE)","78.9"
"Conjunto Habitacional Maria José Viana - Baturité (CE)","86.3"
"Conselheiro Estelita - Baturité (CE)","87.7"
"Feira do Gado - Baturité (CE)","80.7"
"Gustavo Sampaio - Baturité (CE)","85.6"
"Jesuítas - Baturité (CE)","82.0"
"Manga - Baturité (CE)","73.7"
"Mondego - Baturité (CE)","75.7"
"Mucunã - Baturité (CE)","71.1"
"Nossa Senhora Auxiliadora - Baturité (CE)","69.7"
"Putiú - Baturité (CE)","83.9"
"Sanharão - Baturité (CE)","76.4"
"Vila Nova - Baturité (CE)","87.2"
"Centro - Baturité (CE)","92.3"
"São Francisco - Baturité (CE)","83.0"
"Beira Rio - Baturité (CE)","76.0"
"Vila Azul - Boa Viagem (CE)","82.6"
"Alto do Motor - Boa Viagem (CE)","76.1"
"Boaviaginha - Boa Viagem (CE)","80.3"
"Recreio - Boa Viagem (CE)","72.5"
"Alto da Queiroz - Boa Viagem (CE)","67.9"
"Ponte Nova - Boa Viagem (CE)","70.0"
"Vila Holanda - Boa Viagem (CE)","63.5"
"José Rosa - Boa Viagem (CE)","81.4"
"Fátima - Boa Viagem (CE)","71.5"
"Tibiquari - Boa Viagem (CE)","87.6"
"Floresta - Boa Viagem (CE)","74.2"
"Várzea do Canto - Boa Viagem (CE)","77.1"
"Centro - Boa Viagem (CE)","90.1"
"Centro - Brejo Santo (CE)","85.3"
"Aldeota - Brejo Santo (CE)","98.4"
"Morro Dourado - Brejo Santo (CE)","67.7"
"Sol Nascente - Brejo Santo (CE)","88.4"
"São Francisco - Brejo Santo (CE)","82.7"
"Cabaceiras - Brejo Santo (CE)","66.4"
"Eliseu Gomes de Lucena - Brejo Santo (CE)","X"
"Bela Vista - Brejo Santo (CE)","75.3"
"Renê Lucena - Brejo Santo (CE)","76.3"
"Raimundo Fernandes - Brejo Santo (CE)","69.6"
"Araujão - Brejo Santo (CE)","92.6"
"Capilé - Brejo Santo (CE)","85.1"
"Luzia Leite - Brejo Santo (CE)","92.0"
"Taboqueiras - Brejo Santo (CE)","87.7"
"Alto Guaramiranga - Canindé (CE)","85.0"
"Boa Vista - Canindé (CE)","85.6"
"Bela Vista - Canindé (CE)","85.9"
"Canindezinho - Canindé (CE)","73.6"
"Capitão Pedro Sampaio - Canindé (CE)","79.5"
"Centro - Canindé (CE)","87.4"
"Imaculada Conceição - Canindé (CE)","91.3"
"João Paulo II - Canindé (CE)","86.3"
"Jubaia - Canindé (CE)","74.4"
"Nossa Senhora das Graças - Canindé (CE)","73.0"
"Palestina - Canindé (CE)","74.0"
"Riacho São Francisco - Canindé (CE)","87.1"
"Santa Luzia - Canindé (CE)","81.2"
"São Mateus - Canindé (CE)","83.2"
"Santa Clara - Canindé (CE)","89.8"
"Campinas - Canindé (CE)","76.4"
"Centro (do distrito de Caridade) - Caridade (CE)","89.0"
"Pé do Serrote - Caridade (CE)","73.1"
"Coração de Jesus - Caridade (CE)","78.7"
"Açude Novo - Caridade (CE)","75.9"
"Conjunto - Caridade (CE)","78.5"
"Alto da Bela Vista - Caridade (CE)","82.9"
"Alto da Delegacia - Caridade (CE)","78.6"
"Estrada Vila Nova - Caridade (CE)","76.4"
"Centro (do distrito de Campos Belos) - Caridade (CE)","81.5"
"Vila Beta - Caridade (CE)","72.9"
"Açudinho - Caridade (CE)","72.9"
"Três Bocas - Caridade (CE)","76.9"
"Centro - Caririaçu (CE)","84.1"
"Mestre Neco - Caririaçu (CE)","84.0"
"Nossa Senhora do Carmo - Caririaçu (CE)","82.6"
"Paraíso - Caririaçu (CE)","73.3"
"Umari - Caririaçu (CE)","66.7"
"Pernambuquinho - Caririaçu (CE)","75.3"
"Padre Cícero - Caririaçu (CE)","81.3"
"José Agostinho - Caririaçu (CE)","69.4"
"Palestina - Caririaçu (CE)","66.4"
"Abílio Unias - Caririaçu (CE)","75.0"
"Cedron - Caririaçu (CE)","57.7"
"Bico da Arara - Caririaçu (CE)","68.6"
"Centro - Cariús (CE)","87.7"
"São Vicente - Cariús (CE)","82.1"
"Vila Nova - Cariús (CE)","69.4"
"Esplanada - Cariús (CE)","84.9"
"Acampamento - Cariús (CE)","81.7"
"Centro - Catunda (CE)","85.1"
"Açude - Catunda (CE)","58.7"
"Caixa d'Água - Catunda (CE)","75.5"
"Passagem - Catunda (CE)","73.3"
"Bela Vista - Catunda (CE)","73.7"
"Beira Rio - Catunda (CE)","75.9"
"Alto do Garrote - Caucaia (CE)","78.9"
"Açude - Caucaia (CE)","86.6"
"Barra Nova - Caucaia (CE)","82.8"
"Bom Jesus - Caucaia (CE)","86.1"
"Cabatan - Caucaia (CE)","87.6"
"Campo Grande - Caucaia (CE)","79.5"
"Camurupim - Caucaia (CE)","90.0"
"Capuan - Caucaia (CE)","89.9"
"Centro - Caucaia (CE)","95.0"
"Cigana - Caucaia (CE)","92.4"
"Cipó - Caucaia (CE)","88.5"
"Conjunto Metropolitano - Caucaia (CE)","86.4"
"Cumbuco - Caucaia (CE)","87.7"
"Curicaca - Caucaia (CE)","87.4"
"Garrote - Caucaia (CE)","84.4"
"Genipabu - Caucaia (CE)","84.2"
"Grilo - Caucaia (CE)","89.6"
"Guagiru - Caucaia (CE)","90.1"
"Icaraí - Caucaia (CE)","89.9"
"Iparana - Caucaia (CE)","89.2"
"Itambé - Caucaia (CE)","87.2"
"Itapoã - Caucaia (CE)","86.0"
"Jandaiguaba - Caucaia (CE)","85.9"
"Jardim Icaraí - Caucaia (CE)","86.3"
"Lagoa do Banana - Caucaia (CE)","85.4"
"Lagoa dos Porcos - Caucaia (CE)","76.7"
"Lago Verde - Caucaia (CE)","69.6"
"Mestre Antônio - Caucaia (CE)","84.8"
"Nova Cigana - Caucaia (CE)","81.3"
"Novo Pabussu - Caucaia (CE)","93.7"
"Pabussu - Caucaia (CE)","91.8"
"Pacheco - Caucaia (CE)","87.3"
"Padre Júlio Maria - Caucaia (CE)","83.7"
"Padre Romualdo - Caucaia (CE)","93.6"
"Parque Leblon - Caucaia (CE)","89.0"
"Parque Soledade - Caucaia (CE)","88.4"
"Patricia Gomes - Caucaia (CE)","90.1"
"Paumirim - Caucaia (CE)","83.5"
"Planalto Caucaia - Caucaia (CE)","95.0"
"Sobradinho - Caucaia (CE)","91.9"
"Tabapuá - Caucaia (CE)","95.9"
"Tabapuá Brasília - Caucaia (CE)","82.9"
"Tabuba - Caucaia (CE)","88.3"
"Toco - Caucaia (CE)","73.6"
"Urucutuba - Caucaia (CE)","84.3"
"Caraúbas - Caucaia (CE)","77.6"
"Araturi - Caucaia (CE)","93.1"
"Nova Metrópole - Caucaia (CE)","96.7"
"Marechal Rondon - Caucaia (CE)","87.6"
"Arianópolis - Caucaia (CE)","94.3"
"Parque Albano - Caucaia (CE)","92.0"
"Parque das Nações - Caucaia (CE)","85.5"
"Parque Guadalajara - Caucaia (CE)","94.9"
"Parque Potira - Caucaia (CE)","88.8"
"São Miguel - Caucaia (CE)","75.8"
"Tabapuá - Brasília II - Caucaia (CE)","87.1"
"Centro - Cedro (CE)","89.3"
"Vila Operária - Cedro (CE)","74.4"
"Montividéu - Cedro (CE)","X"
"Prado - Cedro (CE)","77.3"
"Açude Novo - Cedro (CE)","74.9"
"Alto do Padeiro - Cedro (CE)","74.6"
"Planalto do Cadeiras - Cedro (CE)","58.2"
"Açude Velho - Cedro (CE)","67.7"
"Planalto dos lemos - Cedro (CE)","65.4"
"Pega Avoante - Cedro (CE)","75.4"
"Divisão - Cedro (CE)","78.3"
"Conjunto Habitacional - Cedro (CE)","90.1"
"Fátima - Cedro (CE)","90.2"
"Alto da Floresta - Cedro (CE)","65.0"
"Jardim Afonso Celso - Cedro (CE)","71.3"
"Centro - Coreaú (CE)","88.6"
"São Miguel - Coreaú (CE)","80.8"
"José Gomes Damasceno - Coreaú (CE)","75.7"
"Padre José Maria Aguiar - Coreaú (CE)","72.9"
"Dom Benedito - Coreaú (CE)","81.7"
"Centro - Crateús (CE)","90.8"
"Cidade Nova - Crateús (CE)","84.5"
"Patriarcas - Crateús (CE)","73.2"
"Cidade 2000 - Crateús (CE)","75.0"
"Cajás - Crateús (CE)","70.7"
"José Rosa - Crateús (CE)","70.1"
"Venâncio - Crateús (CE)","81.5"
"São Vicente - Crateús (CE)","91.5"
"Ipase - Crateús (CE)","83.4"
"Maratoan - Crateús (CE)","66.5"
"Santa Luzia - Crateús (CE)","73.6"
"Campo Velho - Crateús (CE)","73.5"
"Nova Terra - Crateús (CE)","74.3"
"Planalto - Crateús (CE)","83.6"
"Fátima II - Crateús (CE)","85.0"
"Fátima I - Crateús (CE)","78.7"
"Altamira - Crateús (CE)","80.1"
"São José - Crateús (CE)","89.0"
"Ponte Preta - Crateús (CE)","85.3"
"Centro - Crato (CE)","96.6"
"Pimenta - Crato (CE)","98.2"
"Seminário - Crato (CE)","90.4"
"Vila Alta - Crato (CE)","93.4"
"Palmeiral - Crato (CE)","94.6"
"Pinto Madeira (Barro Vermelho) - Crato (CE)","91.3"
"Alto da Penha - Crato (CE)","84.2"
"Ossian Araripe (Caixa D'Água) - Crato (CE)","90.8"
"Sossego - Crato (CE)","96.3"
"Novo Crato - Crato (CE)","89.9"
"Cacimbas - Crato (CE)","85.9"
"Parque Recreio - Crato (CE)","92.7"
"São Miguel - Crato (CE)","90.3"
"Santa Luzia - Crato (CE)","94.7"
"Mirandão - Crato (CE)","94.1"
"Lobo (Vila Lobo) - Crato (CE)","78.4"
"Parque Granjeiro - Crato (CE)","92.4"
"Novo Horizonte - Crato (CE)","84.1"
"José Araújo (Novo Lameiro) - Crato (CE)","95.8"
"Zacarias Gonçalves - Crato (CE)","91.5"
"França Alencar - Crato (CE)","89.3"
"São Gonçalo - Crato (CE)","78.9"
"Gizélia Pinheiro (Batateiras) - Crato (CE)","76.3"
"São Bento - Crato (CE)","79.7"
"Muriti - Crato (CE)","87.3"
"São José - Crato (CE)","87.5"
"Barro Branco - Crato (CE)","71.8"
"Coqueiro - Crato (CE)","98.6"
"Lameiro - Crato (CE)","87.0"
"Granjeiro - Crato (CE)","95.5"
"Centro - Croatá (CE)","73.5"
"Caroba - Croatá (CE)","72.8"
"Centro - Ereré (CE)","84.3"
"Francisco Nogueira de Queiroz - Ereré (CE)","74.3"
"Ipiranga - Ereré (CE)","72.3"
"José Pessoa de Queiroz Moura (José Moura) - Ereré (CE)","72.7"
"Centro - Farias Brito (CE)","83.9"
"Boa Vista - Farias Brito (CE)","78.3"
"Nova Esperança - Farias Brito (CE)","78.3"
"Antonio Ferreira Gomes Martins - Forquilha (CE)","83.9"
"Centro - Forquilha (CE)","92.1"
"Francisco Martins Viana - Forquilha (CE)","84.3"
"Edmundo Rodrigues - Forquilha (CE)","79.5"
"Alto Alegre - Forquilha (CE)","84.1"
"Mesquita Jerônimo - Forquilha (CE)","85.2"
"José Raimundo de Loiola - Forquilha (CE)","61.5"
"Padre Edson - Forquilha (CE)","96.1"
"Alagadiço - Fortaleza (CE)","98.3"
"Aldeota - Fortaleza (CE)","98.2"
"Álvaro Weyne - Fortaleza (CE)","94.8"
"Amadeo Furtado - Fortaleza (CE)","96.1"
"Arraial Moura Brasil - Fortaleza (CE)","89.9"
"Barra do Ceará - Fortaleza (CE)","91.3"
"Benfica - Fortaleza (CE)","97.5"
"Bom Futuro - Fortaleza (CE)","97.2"
"Carlito Pamplona - Fortaleza (CE)","91.9"
"Centro - Fortaleza (CE)","97.2"
"Coco - Fortaleza (CE)","98.6"
"Cristo Redentor - Fortaleza (CE)","90.1"
"Damas - Fortaleza (CE)","97.4"
"Estância (Dionísio Torres) - Fortaleza (CE)","98.7"
"Farias Brito - Fortaleza (CE)","95.9"
"Fátima - Fortaleza (CE)","98.6"
"Floresta - Fortaleza (CE)","91.8"
"Jacarecanga - Fortaleza (CE)","93.7"
"Jardim América - Fortaleza (CE)","96.2"
"Jardim Guanabara - Fortaleza (CE)","94.5"
"Jardim Iracema - Fortaleza (CE)","94.2"
"Joaquim Távora - Fortaleza (CE)","97.3"
"José Bonifácio - Fortaleza (CE)","98.0"
"Meireles - Fortaleza (CE)","98.8"
"Monte Castelo - Fortaleza (CE)","95.6"
"Mucuripe - Fortaleza (CE)","97.1"
"Papicu - Fortaleza (CE)","94.0"
"Parque Araxá - Fortaleza (CE)","96.1"
"Parquelândia - Fortaleza (CE)","97.8"
"Parreão - Fortaleza (CE)","97.3"
"Pirambú - Fortaleza (CE)","87.8"
"Praia de Iracema - Fortaleza (CE)","97.2"
"Presidente Kennedy - Fortaleza (CE)","95.1"
"Rodolfo Teófilo - Fortaleza (CE)","96.1"
"São João do Tauapé - Fortaleza (CE)","94.9"
"Varjota - Fortaleza (CE)","98.0"
"Vicente Pinzon - Fortaleza (CE)","91.5"
"Vila Ellery - Fortaleza (CE)","95.6"
"Vila Velha - Fortaleza (CE)","93.0"
"Antônio Bezerra - Fortaleza (CE)","94.9"
"Autran Nunes - Fortaleza (CE)","88.3"
"Conjunto Ceará I - Fortaleza (CE)","97.1"
"Dom Lustosa - Fortaleza (CE)","95.0"
"Genibau - Fortaleza (CE)","88.6"
"Henrique Jorge - Fortaleza (CE)","94.9"
"João XXIII - Fortaleza (CE)","93.4"
"Padre Andrade (Cachoeirinha) - Fortaleza (CE)","93.2"
"Quintino Cunha - Fortaleza (CE)","91.7"
"José de Alencar - Fortaleza (CE)","93.3"
"Ancuri - Fortaleza (CE)","87.7"
"Barroso - Fortaleza (CE)","89.8"
"Cajazeiras - Fortaleza (CE)","94.3"
"Cambeba - Fortaleza (CE)","95.7"
"Cidade dos Funcionários - Fortaleza (CE)","97.3"
"Coaçu - Fortaleza (CE)","92.6"
"Curió - Fortaleza (CE)","89.8"
"Edson Queiroz - Fortaleza (CE)","95.3"
"Engenheiro Luciano Cavalcante - Fortaleza (CE)","95.6"
"Guajeru - Fortaleza (CE)","93.6"
"Guarapes - Fortaleza (CE)","98.2"
"Jangurussu - Fortaleza (CE)","93.4"
"Jardim das Oliveiras - Fortaleza (CE)","89.3"
"Lagoa Redonda - Fortaleza (CE)","91.2"
"Lagoa Sapiranga (Coité) - Fortaleza (CE)","92.6"
"Messejana (sede) - Fortaleza (CE)","94.5"
"Parque Iracema - Fortaleza (CE)","97.0"
"Parque Manibura - Fortaleza (CE)","97.0"
"Paupina - Fortaleza (CE)","91.5"
"Pedras - Fortaleza (CE)","87.2"
"Sabiaguaba - Fortaleza (CE)","87.9"
"Salinas - Fortaleza (CE)","94.7"
"Bom Jardim - Fortaleza (CE)","90.1"
"Bonsucesso - Fortaleza (CE)","91.9"
"Canindezinho - Fortaleza (CE)","89.2"
"Conjunto Ceará II - Fortaleza (CE)","96.8"
"Conjunto Esperança - Fortaleza (CE)","94.1"
"Dendê - Fortaleza (CE)","93.7"
"Granja Lisboa - Fortaleza (CE)","89.7"
"Granja Portugal - Fortaleza (CE)","88.4"
"Jardim Cearense - Fortaleza (CE)","94.7"
"Manoel Sátiro - Fortaleza (CE)","94.5"
"Maraponga - Fortaleza (CE)","95.6"
"Mondubim (Sede) - Fortaleza (CE)","93.6"
"Parque Dois Irmãos - Fortaleza (CE)","93.9"
"Parque Presidente Vargas - Fortaleza (CE)","89.0"
"Parque São José - Fortaleza (CE)","91.7"
"Parque Santa Rosa (Apolo XI) - Fortaleza (CE)","92.1"
"Passaré - Fortaleza (CE)","92.7"
"Prefeito José Walter - Fortaleza (CE)","95.4"
"Siqueira - Fortaleza (CE)","88.5"
"Aerolândia - Fortaleza (CE)","93.8"
"Aeroporto (Base Aérea) - Fortaleza (CE)","88.7"
"Alto da Balança - Fortaleza (CE)","92.7"
"Bela Vista - Fortaleza (CE)","94.5"
"Castelão - Fortaleza (CE)","93.0"
"Couto Fernades - Fortaleza (CE)","91.9"
"Demócrito Rocha - Fortaleza (CE)","95.1"
"Dias Macedo - Fortaleza (CE)","91.7"
"Itaóca - Fortaleza (CE)","94.7"
"Itaperi - Fortaleza (CE)","95.8"
"Jóquei Club (São Cristóvão) - Fortaleza (CE)","95.2"
"Mata Galinha - Fortaleza (CE)","93.4"
"Montese - Fortaleza (CE)","95.3"
"Pan-Americano - Fortaleza (CE)","94.5"
"Parangaba - Fortaleza (CE)","95.6"
"Pici (Parque Universitário) - Fortaleza (CE)","91.8"
"Serrinha - Fortaleza (CE)","91.9"
"Vila Pery - Fortaleza (CE)","95.2"
"Vila União - Fortaleza (CE)","95.5"
"Cais do Porto - Fortaleza (CE)","88.2"
"Cidade 2000 - Fortaleza (CE)","98.1"
"Manuel Dias Branco - Fortaleza (CE)","90.9"
"Praia do Futuro I - Fortaleza (CE)","87.5"
"Praia do Futuro II - Fortaleza (CE)","88.7"
"De Lourdes - Fortaleza (CE)","96.3"
"Planalto Ayrton Senna - Fortaleza (CE)","89.5"
"Gentilândia - Fortaleza (CE)","98.3"
"Conjunto Palmeiras - Fortaleza (CE)","90.4"
"São Bento - Fortaleza (CE)","91.4"
"São José - General Sampaio (CE)","66.5"
"Nossa Senhora das Graças - General Sampaio (CE)","79.8"
"Sagrado Coração de Jesus - General Sampaio (CE)","79.9"
"Nossa Senhora do Rosário - General Sampaio (CE)","74.6"
"Centro - Granjeiro (CE)","86.0"
"Joaquim Ferreira - Granjeiro (CE)","78.8"
"Salomé - Granjeiro (CE)","76.8"
"Miguel Saraiva - Granjeiro (CE)","75.2"
"Padre Mororó - Groaíras (CE)","81.8"
"Centro - Groaíras (CE)","85.9"
"Paulo Malaquias - Groaíras (CE)","80.9"
"José Cassiano - Groaíras (CE)","73.6"
"Capitão José Linhares - Groaíras (CE)","75.7"
"Chico Jerônimo - Groaíras (CE)","76.1"
"Centro - Guaiúba (CE)","95.2"
"Miguel de Sousa Martins - Guaiúba (CE)","80.1"
"Pinheiro - Guaiúba (CE)","87.8"
"Helder Eduardo Bezerra - Guaiúba (CE)","77.9"
"Dezessete de Março - Guaiúba (CE)","83.9"
"Francisco de Goes - Guaiúba (CE)","77.8"
"São José - Guaiúba (CE)","73.8"
"Maria de Jesus - Guaiúba (CE)","87.4"
"Accioly - Guaiúba (CE)","79.3"
"Centro - Hidrolândia (CE)","88.1"
"Nova Hidrolândia - Hidrolândia (CE)","74.6"
"Professora Mirian Ferreira - Hidrolândia (CE)","79.7"
"Beira Rio - Hidrolândia (CE)","76.3"
"Progresso - Hidrolândia (CE)","73.3"
"Marinho - Hidrolândia (CE)","74.0"
"Mororó - Hidrolândia (CE)","83.8"
"Alto da Bela Vista - Ibaretama (CE)","75.0"
"Campo Velho - Ibaretama (CE)","72.3"
"Centro - Ibaretama (CE)","77.1"
"Nova Ibaretama - Ibaretama (CE)","84.3"
"Nossa Senhora Auxiliadora - Ibaretama (CE)","72.2"
"Raimunda Emilia - Ibaretama (CE)","74.7"
"Centro - Ibiapina (CE)","91.8"
"José Avelino Portela - Ibiapina (CE)","88.6"
"Francisco Custodio de Azevedo - Ibiapina (CE)","73.5"
"São João - Ibiapina (CE)","82.3"
"Raimundo Linhares - Ibiapina (CE)","84.7"
"Padre Pontes - Ibiapina (CE)","83.0"
"Vicente Aragão - Ibiapina (CE)","74.2"
"Alto do Jucá - Iguatu (CE)","78.6"
"Areias I - Iguatu (CE)","87.3"
"Areias II - Iguatu (CE)","81.6"
"Bastiana - Iguatu (CE)","83.6"
"Bugi - Iguatu (CE)","95.1"
"Cajazeiras - Iguatu (CE)","84.3"
"Centro - Iguatu (CE)","94.7"
"Cerâmica - Iguatu (CE)","69.0"
"Cocobó - Iguatu (CE)","86.1"
"Cohab - Iguatu (CE)","90.4"
"Chapadinha - Iguatu (CE)","71.9"
"Conjunto Industrial - Iguatu (CE)","84.9"
"Das Flores - Iguatu (CE)","89.7"
"Esplanada I - Iguatu (CE)","82.8"
"Esplanada II - Iguatu (CE)","87.2"
"Jardim Iguatu - Iguatu (CE)","89.5"
"João Paulo - Iguatu (CE)","75.0"
"Planalto - Iguatu (CE)","87.9"
"Poço Comprido - Iguatu (CE)","72.3"
"Prado - Iguatu (CE)","83.6"
"São Sebastião - Iguatu (CE)","95.9"
"Sete de Setembro - Iguatu (CE)","84.8"
"Taboleiro - Iguatu (CE)","85.1"
"Veneza - Iguatu (CE)","91.7"
"Vila Brasília - Iguatu (CE)","81.7"
"Vila Centenário - Iguatu (CE)","77.9"
"Vila Cidão - Iguatu (CE)","90.4"
"Vila Moura - Iguatu (CE)","71.1"
"Vila Neuma - Iguatu (CE)","68.7"
"Vila Santo Antônio - Iguatu (CE)","80.8"
"Paraná - Iguatu (CE)","86.9"
"Boa Esperança - Independência (CE)","72.8"
"Centro - Independência (CE)","89.7"
"Cohab I - Independência (CE)","74.8"
"Cohab II - Independência (CE)","70.0"
"Liberdade - Independência (CE)","83.8"
"Liberdade II - Independência (CE)","82.9"
"Pelo Sinal - Independência (CE)","73.3"
"Placa - Independência (CE)","79.1"
"São Vicente - Independência (CE)","84.4"
"Centro - Ipaporanga (CE)","80.7"
"Águas Belas - Ipaporanga (CE)","74.7"
"Alto do Bom Princípio - Ipaporanga (CE)","81.9"
"Central - Ipaporanga (CE)","72.7"
"São José - Ipaporanga (CE)","62.8"
"Aldeota - Ipu (CE)","77.1"
"Alto dos Quatorze - Ipu (CE)","75.4"
"Boa Vista - Ipu (CE)","79.5"
"Berguedorf - Ipu (CE)","70.3"
"Cafute - Ipu (CE)","80.4"
"Canudos - Ipu (CE)","82.3"
"Centro - Ipu (CE)","92.0"
"Escondido - Ipu (CE)","71.8"
"Macaco - Ipu (CE)","75.9"
"Mina - Ipu (CE)","65.6"
"Pedrinhas - Ipu (CE)","64.5"
"Pereiros - Ipu (CE)","73.4"
"Reino de França - Ipu (CE)","83.5"
"Centro - Iracema (CE)","87.6"
"Beira Rio - Iracema (CE)","74.6"
"Pedra Bola - Iracema (CE)","64.5"
"Jatobá - Iracema (CE)","75.8"
"Da Paz - Iracema (CE)","74.9"
"Holandino - Iracema (CE)","76.0"
"São José - Iracema (CE)","76.4"
"Caixa D'Água - Iracema (CE)","74.5"
"Centro - Itaitinga (CE)","88.1"
"Genezaré - Itaitinga (CE)","77.1"
"Angorá - Itaitinga (CE)","84.4"
"Vila Machado - Itaitinga (CE)","85.8"
"Ponta da Serra - Itaitinga (CE)","80.0"
"Santo Antônio - Itaitinga (CE)","76.9"
"Antônio Miguel - Itaitinga (CE)","89.8"
"Riachão - Itaitinga (CE)","88.4"
"Ancuri - Itaitinga (CE)","84.3"
"Barrocão - Itaitinga (CE)","85.9"
"Caracanga - Itaitinga (CE)","78.7"
"Carapió - Itaitinga (CE)","84.1"
"Gereraú - Itaitinga (CE)","78.0"
"Jabuti - Itaitinga (CE)","89.1"
"Jibóia - Itaitinga (CE)","82.5"
"Laje dos Gatos - Itaitinga (CE)","80.6"
"Ocupação - Itaitinga (CE)","83.8"
"Pedras - Itaitinga (CE)","81.4"
"Vila Nova - Itaitinga (CE)","78.4"
"Alto Alegre - Itapipoca (CE)","82.5"
"Área Nobre - Itapipoca (CE)","91.5"
"Boa Vista - Itapipoca (CE)","94.2"
"Cacimbas - Itapipoca (CE)","85.4"
"Centro - Itapipoca (CE)","96.3"
"Coqueiro - Itapipoca (CE)","95.3"
"Cruzeiro - Itapipoca (CE)","86.8"
"Estação - Itapipoca (CE)","86.5"
"Fazendinha - Itapipoca (CE)","91.4"
"Das Flores - Itapipoca (CE)","80.0"
"Julho - Itapipoca (CE)","86.1"
"Ladeira - Itapipoca (CE)","81.4"
"Madalenas - Itapipoca (CE)","92.4"
"Maranhão - Itapipoca (CE)","86.8"
"Mourão - Itapipoca (CE)","79.1"
"Nova Aldeota - Itapipoca (CE)","83.5"
"Picos - Itapipoca (CE)","82.8"
"São Francisco - Itapipoca (CE)","87.4"
"São Sebastião - Itapipoca (CE)","97.1"
"Senharão - Itapipoca (CE)","88.6"
"Urbano Teixeira - Itapipoca (CE)","83.9"
"Violete - Itapipoca (CE)","88.9"
"Centro - Itatira (CE)","76.6"
"Centro - Jaguaretama (CE)","86.1"
"Padre Sebastião Marleno - Jaguaretama (CE)","72.6"
"Beira Rio - Jaguaretama (CE)","81.1"
"Nossa Senhora da Conceição - Jaguaretama (CE)","75.8"
"Jaime Costa Pinheiro - Jaguaretama (CE)","75.4"
"Centro - Jaguaribe (CE)","87.2"
"Aloísio Diógenes - Jaguaribe (CE)","77.2"
"Celso Barreira Filho - Jaguaribe (CE)","80.4"
"Luiz Pinto - Jaguaribe (CE)","81.4"
"Antônio Duarte - Jaguaribe (CE)","76.2"
"Centro - Jardim (CE)","81.3"
"João Pereira de Sousa - Jardim (CE)","90.7"
"Urias Novais - Jardim (CE)","83.9"
"Olavo Napoleão de Araújo - Jardim (CE)","72.9"
"Bela Vista - Jardim (CE)","77.1"
"Décio Sampaio Couto - Jardim (CE)","78.9"
"Nossa Senhora de Fátima - Jardim (CE)","80.9"
"Clodoaldo Xavier Sampaio - Jardim (CE)","89.1"
"Lourival Gondim - Jardim (CE)","82.3"
"José Franco Neves (Zé Neves) - Jardim (CE)","85.8"
"João Neves da Luz (João da Luz) - Jardim (CE)","84.5"
"Santa Terezinha - Jardim (CE)","92.2"
"Otoni de Sá Roriz - Jardim (CE)","84.1"
